featureFile,featureName,scenarioName,scenarioType,tags,exampleRows,stepCount,architecture_type,repository_name,experiment_batch_id,run_index,workflow_run_id,workflow_attempt,tool_name,platform,viewport,generated_at
browse-catalog.feature,Browse the OmniPizza catalog across markets,Catalog renders in <market>/<language>,scenario_outline,@desktop @responsive @android @ios @visual @ui-only,5,3,GTAA_BASELINE,gTAA,local-batch,0,NOT_AVAILABLE,NOT_AVAILABLE,ALL,ALL,ALL,2026-06-09T17:38:50.363Z
browse-catalog.feature,Browse the OmniPizza catalog across markets,Catalog shows the localized section title in <market>/<language>,scenario_outline,@android @ios @visual @ui-only,5,2,GTAA_BASELINE,gTAA,local-batch,0,NOT_AVAILABLE,NOT_AVAILABLE,ALL,ALL,ALL,2026-06-09T17:38:50.363Z
browse-catalog.feature,Browse the OmniPizza catalog across markets,Filtering by category narrows the catalog in <market>,scenario_outline,@desktop @responsive @android @ios @visual @api,5,3,GTAA_BASELINE,gTAA,local-batch,0,NOT_AVAILABLE,NOT_AVAILABLE,ALL,ALL,ALL,2026-06-09T17:38:50.363Z
browse-catalog.feature,Browse the OmniPizza catalog across markets,Opening a pizza card launches the builder in <market>,scenario_outline,@desktop @responsive @android @ios @visual @api,5,3,GTAA_BASELINE,gTAA,local-batch,0,NOT_AVAILABLE,NOT_AVAILABLE,ALL,ALL,ALL,2026-06-09T17:38:50.363Z
browse-catalog.feature,Browse the OmniPizza catalog across markets,Searching narrows the catalog by name in <market>,scenario_outline,@desktop @responsive @android @ios @visual @api,5,5,GTAA_BASELINE,gTAA,local-batch,0,NOT_AVAILABLE,NOT_AVAILABLE,ALL,ALL,ALL,2026-06-09T17:38:50.363Z
customize-pizza.feature,Customize a pizza in the builder across markets,Builder renders for <item> in <market>/<language>,scenario_outline,@desktop @responsive @android @ios @visual @ui-only,5,3,GTAA_BASELINE,gTAA,local-batch,0,NOT_AVAILABLE,NOT_AVAILABLE,ALL,ALL,ALL,2026-06-09T17:38:50.363Z
customize-pizza.feature,Customize a pizza in the builder across markets,Builder section and total labels are translated for <item> in <market>/<language>,scenario_outline,@android @ios @visual @ui-only,5,3,GTAA_BASELINE,gTAA,local-batch,0,NOT_AVAILABLE,NOT_AVAILABLE,ALL,ALL,ALL,2026-06-09T17:38:50.363Z
customize-pizza.feature,Customize a pizza in the builder across markets,Confirming add to cart closes the builder and increments the navbar cart count in <market>,scenario_outline,@desktop @responsive @android @ios @visual @api,5,6,GTAA_BASELINE,gTAA,local-batch,0,NOT_AVAILABLE,NOT_AVAILABLE,ALL,ALL,ALL,2026-06-09T17:38:50.363Z
customize-pizza.feature,Customize a pizza in the builder across markets,Selecting a size updates the estimated total for <item> in <market>,scenario_outline,@desktop @responsive @android @ios @visual,5,3,GTAA_BASELINE,gTAA,local-batch,0,NOT_AVAILABLE,NOT_AVAILABLE,ALL,ALL,ALL,2026-06-09T17:38:50.363Z
customize-pizza.feature,Customize a pizza in the builder across markets,Selecting toppings updates the estimated total for <item> in <market>,scenario_outline,@desktop @responsive @android @ios @visual,5,4,GTAA_BASELINE,gTAA,local-batch,0,NOT_AVAILABLE,NOT_AVAILABLE,ALL,ALL,ALL,2026-06-09T17:38:50.363Z
invalid-credentials.feature,Invalid login credentials surface the same auth error,Login rejected when <case>,scenario_outline,@desktop @responsive @android @ios @api @performance @visual @invalid,5,2,GTAA_BASELINE,gTAA,local-batch,0,NOT_AVAILABLE,NOT_AVAILABLE,ALL,ALL,ALL,2026-06-09T17:38:50.363Z
market-language-localization.feature,Market-driven language localization across login + post-login UI,Logout label is translated to <language> after market <market>,scenario_outline,@desktop @visual @localized,5,4,GTAA_BASELINE,gTAA,local-batch,0,NOT_AVAILABLE,NOT_AVAILABLE,ALL,ALL,ALL,2026-06-09T17:38:50.363Z
navbar-shell.feature,"Navbar shell — links, branding, and language switching per market",Desktop navbar links are present in <market>,scenario_outline,@desktop @visual @ui-only,5,2,GTAA_BASELINE,gTAA,local-batch,0,NOT_AVAILABLE,NOT_AVAILABLE,ALL,ALL,ALL,2026-06-09T17:38:50.363Z
navbar-shell.feature,"Navbar shell — links, branding, and language switching per market",Header language switcher updates the locale in CH (<sourceLanguage> → <targetLanguage>),scenario_outline,@desktop @visual,2,3,GTAA_BASELINE,gTAA,local-batch,0,NOT_AVAILABLE,NOT_AVAILABLE,ALL,ALL,ALL,2026-06-09T17:38:50.363Z
navbar-shell.feature,"Navbar shell — links, branding, and language switching per market",Mobile navbar exposes the same links in <market>,scenario_outline,@responsive @android @ios @visual @ui-only,5,3,GTAA_BASELINE,gTAA,local-batch,0,NOT_AVAILABLE,NOT_AVAILABLE,ALL,ALL,ALL,2026-06-09T17:38:50.363Z
order-success.feature,Order success screen surfaces tracking & courier per market,Order success screen in <market>/<language> shows tracking + courier,scenario_outline,@desktop @responsive @android @ios @visual @ui-only,5,4,GTAA_BASELINE,gTAA,local-batch,0,NOT_AVAILABLE,NOT_AVAILABLE,ALL,ALL,ALL,2026-06-09T17:38:50.363Z
place-delivery-order.feature,Place a delivery order across markets,Place a delivery order in <market> paying with cash,scenario_outline,@desktop @responsive @android @ios @performance @visual @api,4,5,GTAA_BASELINE,gTAA,local-batch,0,NOT_AVAILABLE,NOT_AVAILABLE,ALL,ALL,ALL,2026-06-09T17:38:50.363Z
place-delivery-order.feature,Place a delivery order across markets,Place a delivery order in <market> paying with credit card,scenario_outline,@desktop @responsive @android @ios @performance @visual @api,4,6,GTAA_BASELINE,gTAA,local-batch,0,NOT_AVAILABLE,NOT_AVAILABLE,ALL,ALL,ALL,2026-06-09T17:38:50.363Z
update-profile.feature,View and update the OmniPizza user profile across markets,Profile form labels are translated in <market>/<language>,scenario_outline,@android @ios @visual @ui-only,5,2,GTAA_BASELINE,gTAA,local-batch,0,NOT_AVAILABLE,NOT_AVAILABLE,ALL,ALL,ALL,2026-06-09T17:38:50.363Z
update-profile.feature,View and update the OmniPizza user profile across markets,Profile renders for <user> in <market>/<language>,scenario_outline,@desktop @responsive @android @ios @visual @ui-only,5,3,GTAA_BASELINE,gTAA,local-batch,0,NOT_AVAILABLE,NOT_AVAILABLE,ALL,ALL,ALL,2026-06-09T17:38:50.363Z
